No.overall,No. inseason,Title,Storyboarded by,Directed by,Written by,Original air date,English air date,Viewership rating,Original_Air_Date,English_Air_Date
64,1,"""The Scoop on U.A. Class 1-A""Transcription: ""Sukūpu U.A. Ichi-Nen Ei-Gumi"" (Japanese: スクープ雄英1年A組)",Masahiro Mukai,Naomi Nakayama,Yōsuke Kuroda,"October 12, 2019[m]","November 9, 2019",,2019-10-12,
65,2,"""Overhaul""Transcription: ""Ōbāhōru"" (Japanese: オーバーホール)",Masahiro Mukai,Tomo Ōkubo,Yōsuke Kuroda,"October 19, 2019","November 16, 2019",4.5%,2019-10-19,2018-08-11
66,3,"""Boy Meets...""Transcription: ""Bōi Mītsu"" (Japanese: ボーイ・ミーツ...)",Takashi Kawabata,Masashi Abe,Yōsuke Kuroda,"October 26, 2019","November 23, 2019",4.0%,2019-10-26,2018-08-18
67,4,"""Fighting Fate""Transcription: ""Aragau Unmei"" (Japanese: 抗う運命)",Kō Matsuo,Shōji Ikeno,Yōsuke Kuroda,"November 9, 2019[n]","November 30, 2019",4.6%,2019-11-09,2018-08-25
68,5,"""Let's Go, Gutsy Red Riot""Transcription: ""Gattsuda Rettsura Reddo Raiotto"" (Japanese: ガッツだレッツラレッドライオット)",Shinji Ishihira,Tetsuya Miyanishi[o],Yōsuke Kuroda,"November 16, 2019","December 7, 2019",3.2%,2019-11-16,2018-09-08
69,6,"""An Unpleasant Talk""Transcription: ""Iyana Hanashi"" (Japanese: 嫌な話)",Tomo Ōkubo,Tomo Ōkubo,Yōsuke Kuroda,"November 23, 2019","December 14, 2019",4.1%,2019-11-23,2018-09-15
70,7,"""GO!!""",Miwa Sasaki,Miwa Sasaki,Yōsuke Kuroda,"November 30, 2019","January 4, 2020",4.8%,2019-11-30,2018-09-22
71,8,"""Suneater of the Big Three""Transcription: ""Biggu 3 no San'ītā"" (Japanese: ビッグ3のサンイーター)",Shinji Satō,Masashi Abe,Yōsuke Kuroda,"December 7, 2019","January 11, 2020",4.8%,2019-12-07,2018-09-29
72,9,"""Red Riot""Transcription: ""Reddo Raiotto"" (Japanese: .mw-parser-output .templateruby>rt{font-feature-settings:""ruby""1;font-size:85%}.mw-parser-output .templateruby.large{font-size:250%}.mw-parser-output .templateruby.large>rt{font-size:50%}烈怒頼雄斗（レッドライオット）)",Shinji Ishihira,Shōji Ikeno,Yōsuke Kuroda,"December 14, 2019","January 18, 2020",3.7%,2019-12-14,2018-10-06
73,10,"""Temp Squad""Transcription: ""Shukkō"" (Japanese: 出向)",Tomo Ōkubo,Tomo Ōkubo,Yōsuke Kuroda,"December 21, 2019","January 25, 2020",3.8%,2019-12-21,2018-10-13
74,11,"""Lemillion""Transcription: ""Rumirion"" (Japanese: ルミリオン)",Tetsuya Miyanishi,Tetsuya Miyanishi,Yōsuke Kuroda,"December 28, 2019","February 1, 2020",4.1%,2019-12-28,2018-10-20
